Sr No,Device Name,Serial Number,Status,Assigned To,Updated On,Location
1,iPhone SE 128GB  ( 2022 ) ,IPH-SE22-128G / SPR-IND-QA-1 ,Available,,14-05-2025 15:21,
2,iPhone SE 128GB  ( 2022 ) ,IPH-SE22-128G / SPR-IND-Dev-30,Available,,14-05-2025 14:59,
3,iPhone 11 128GB ,IPH-11-128G / SPR-IND-QA-2,Available,,2025-05-14 16:05:22,
4,IPhone 11 128GB,IPH-11-128G / SPR-IND-ADM-4,Available,,14-05-2025 14:59,
5,IPhone 11 128GB,IPH-11-128G / SPR-IND-ADM-5,Available,,14-05-2025 14:59,
6,IPhone 11 128GB,IPH-11-128G / SPR-IND-ADM-7,Available,,14-05-2025 14:59,
7,IPhone 11 64GB,IPH-11-64G / SPR-IND-ADM-8,Available,,14-05-2025 14:59,
8,IPhone 11 64GB,IPH-11-64G / SPR-IND-ADM-9,Available,,14-05-2025 14:59,
9,iPhone 11 128GB ,IPH-11-128G / SPR-IND-ADM-43,Available,,14-05-2025 14:59,
10,iPhone 11 64GB ,IPH-11-64G / SPR-IND-ADM-44,Available,,14-05-2025 14:59,
11,iPhone 11 Pro 256GB,IPH-11P-256G / SPR-IND-ADM-31,Available,,14-05-2025 14:59,
12,iPhone 12 64GB,IPH-12-64G / SPR-IND-QA-3,Available,,14-05-2025 14:59,
13,iPhone 12 pro 128GB,IPH-12P-128G / SPR-IND-ADM-36,Available,,14-05-2025 15:21,
14,iPhone 12 pro 128GB,IPH-12P-128G / SPR-IND-ADM-37,Available,,14-05-2025 14:59,
15,iPhone 13 128 GB,IPH-13-128G / SPR-IND-ADM-32,Available,,14-05-2025 14:59,
16,iPhone 13 128 GB,IPH-13-128G / SPR-IND-ADM-33,Available,,14-05-2025 14:59,
17,iPhone 13 128 GB,IPH-13-128G / SPR-IND-ADM-52,Available,,14-05-2025 15:04,
18,iPhone 13 256 GB,IPH-13-256G / SPR-IND-ADM-53,Available,,15-05-2025 15:04,
19,iPhone 13 Pro,IPH-13P / SPR-IND-ADM-92,Available,,16-05-2025 15:04,
20,iPhone 13 Pro Max 128 GB,IPH-13PM-128G / SPR-IND-ADM-54,Available,,17-05-2025 15:04,
21,iPhone 13 Pro Max ,IPH-13PM / SPR-IND-ADM-93,Available,,18-05-2025 15:04,
22,iPhone 14 128GB,IPH-14-128G / SPR-IND-ADM-38,Available,,19-05-2025 15:04,
23,iPhone 14 128GB,IPH-14-128G / SPR-IND-ADM-39,Available,,20-05-2025 15:04,
24,iPhone 14 128GB,IPH-14-128G / SPR-IND-ADM-41,Available,,21-05-2025 15:04,
25,iPhone 14 128GB,IPH-14-128G / SPR-IND-ADM-55,Available,,22-05-2025 15:04,
26,iPhone 14 Pro Max,IPH-14PM / SPR-IND-ADM-94,Available,,23-05-2025 15:04,
27,iPhone 14 Pro Max,IPH-14PM / SPR-IND-ADM-95,Available,,24-05-2025 15:04,
28,iPhone 15 Plus 128GB,IPH-15+-128G / SPR-IND-ADM-56,Available,,25-05-2025 15:04,
29,iPad Air 5 64GB ,IPAD-AR5-64 / SPR-IND-ADM-16,Available,,26-05-2025 15:04,
30,iPad Air 5 64GB ,IPAD-AR5-64 / SPR-IND-ADM-49,Available,,27-05-2025 15:04,
31,iPad Air 5 64GB ,IPAD-AR5-64 / SPR-IND-ADM-50,Available,,28-05-2025 15:04,
32,Redmi Note 12 Pro,RDM-12P / SPR-IND-PFR-61,Available,,29-05-2025 15:04,
33,Realme 11x,RM-11x / SPR-IND-PFR-59,Available,,30-05-2025 15:04,
34,OPPO A57 4/ 64,OPPO-A57 / SPR-ALLOC- 70,Available,,31-05-2025 15:04,
35,SAMSUNG Galaxy F23 5G 4/128,SAM-F23 / SPR-ALLOC- 79,Available,,01-06-2025 15:04,
36,Vivo Y33s  8/128,VV-Y33s / SPR-ALLOC- 74,Available,,02-06-2025 15:04,
37,Moto G32,MOTO-G32 / SPR-IND-PFR-18,Available,,03-06-2025 15:04,
38,iPhone 12 64GB,IPH-12-64G / SPR-IND-ADM-63,Available,,04-06-2025 15:04,
39,iPhone 12 64GB,IPH-12-64G / SPR-IND-ADM-34,Available,,05-06-2025 15:04,
40,iPhone 12 128GB,IPH-12-128G / SPR-IND-ADM-35,Available,,06-06-2025 15:04,
41,iQOO Z6 Lite,IQOO-Z6L / SPR-ALLOC-21,Available,,07-06-2025 15:04,
42,Vivo Y27,VV-Y27 / SPR-ALLOC-24,Available,,08-06-2025 15:04,
43,One Plus Nord CE 3,OP-NCE3 / SPR-ALLOC- 65,Available,,09-06-2025 15:04,
44,OnePlus 11R,OP-11R / SPR-IND-ADM-51,Available,,10-06-2025 15:04,
45,Motorola G63,MOTO-G63 / SPR-ALLOC- 66,Available,,11-06-2025 15:04,
46,Galaxy M15 5G,SAM-M15 / SPR-ALLOC- 67,Available,,12-06-2025 15:04,
47,Redmi 12 5G,RDM-12 / SPR-ALLOC- 68,Available,,13-06-2025 15:04,
48,Realme C25Y 4/128,RM-C25Y / SPR-ALLOC- 77,Available,,14-06-2025 15:04,
49,Samsung Galaxy M34 5G 6/128,SAM-M34 / SPR-ALLOC- 87,Available,,15-06-2025 15:04,
50,Samsung Galaxy A14 5G 4/64,SAM-A14 / SPR-ALLOC- 75(black cover),Available,,16-06-2025 15:04,
51,Motorola Moto G32  8/128,MOTO-G32 / SPR-ALLOC- 78,Available,,17-06-2025 15:04,
52,MI Poco M2 Pro 4/64,POCO-M2P / SPR-ALLOC- 80,Available,,18-06-2025 15:04,
53,POCO M4 Pro 6/64,POCO-M4P / SPR-ALLOC- 81,Available,,19-06-2025 15:04,
54,Samsung FE 21 5G,SAM-FE21 / SPR-IND-ADM-15,Available,,20-06-2025 15:04,
55,IQOO 9T  8/128,IQOO-9T-128G / SPR-IND-ADM-45,Available,,21-06-2025 15:04,
56,IQOO 9T  8/128,IQOO-9T-128G / SPR-IND-ADM-46,Available,,22-06-2025 15:04,
57,IQOO Neo7 Pro 8/128,IQOO-N7P-128G / SPR-IND-ADM-47,Available,,23-06-2025 15:04,
58,IQOO Neo7 Pro 8/128,IQOO-N7P-128G / SPR-IND-ADM-48,Available,,24-06-2025 15:04,
59,One Plus Pad,OPPAD-1-128G / SPR-IND-ADM-42,Available,,25-06-2025 15:04,
60,Oneplus Nord,OP-NOD-256G/SPR-IND-QA-29,Available,,26-06-2025 15:04,
61,OnePlus 9R 12/256,OP-9R / SPR-IND-DEV-10,Available,,27-06-2025 15:04,
62,OnePlus 9R,OP-9R / SPR-IND-ADM-11,Available,,28-06-2025 15:04,
63,OnePlus 9 12/256,OP-9 / SPR-IND-ADM-12,Available,,29-06-2025 15:04,
64,OnePlus 9,OP-9 / SPR-IND-ADM-13,Available,,30-06-2025 15:04,
65,OnePlus 9 Pro 12/256,OP-9P / SPR-IND-ADM-14,Available,,01-07-2025 15:04,
66,Poco F5,POCO-F5 / SPR-IND-PFR-6,Available,,02-07-2025 15:04,
67,Poco X5 Pro,POCO-X5P / SPR-IND-PFR-17,Available,,03-07-2025 15:04,
68,Pixel 6 ,PXL-6-128G / SPR-IND-ADM-40,Available,,04-07-2025 15:04,
69,Pixel 8,PXL-8 / SPR-IND-ADM-57,Available,,05-07-2025 15:04,
70,Realme 7  64 / 6 ,RM-7 / SPR-ALLOC- 69,Available,,06-07-2025 15:04,
71,Oppo A17 4/64,OPPO-A17 / SPR-ALLOC- 71(labelled 74),Available,,07-07-2025 15:04,
72,Vivo T1 44W 4/128,VV-T1 / SPR-ALLOC- 72,Available,,08-07-2025 15:04,
73,Vivo V23 ,VV-23 / SPR-ALLOC- 96,Available,,09-07-2025 15:04,
74,Redmi Note 9 4/64,RDM-N9 / SPR-ALLOC- 83,Available,,10-07-2025 15:04,
75,Redmi Note 9 4/64,RDM-N9 / SPR-IND-QA- 89,Available,,11-07-2025 15:04,
76,Redmi Note 11T ,RDM-11T-128G/SPR-IND-QA-27,Available,,12-07-2025 15:04,
77,Redmi Note 11T 6/128,RDM-11T-128G/SPR-IND-DEV-28,Available,,13-07-2025 15:04,
78,Redmi Note 11 4/64,RDM-N11 / SPR-ALLOC- 85,Available,,14-07-2025 15:04,
79,Samsung M14,SAM-M14 / SPR-ALLOC-23,Available,,15-07-2025 15:04,
80,Samsung M21,SAM-M21 / SPR-IND-QA- 90,Available,,16-07-2025 15:04,
81,Samsung F34 6/128,SAM-F34 / SPR-IND-PFR-60,Available,,17-07-2025 15:04,
82,Realme 8 Pro 6/128,RM-8P / SPR-ALLOC- 97,Available,,18-07-2025 15:04,
83,Realme GT Neo 3T,RM-3T / SPR-ALLOC- 98,Available,,19-07-2025 15:04,
84,Redmi Note 10 Pro 6/128,RDM-N10P / SPR-ALLOC- 100,Available,,20-07-2025 15:04,
85,Motorola G54  8/128,MOTO-G54 / SPR-ALLOC- 101,Available,,21-07-2025 15:04,
86,Vivo Y22 4/64,VV-Y22 / SPR-ALLOC- 102,Available,,22-07-2025 15:04,
87,Redmi Note 8,RDM-N8 / SPR-ALLOC- 103,Available,,23-07-2025 15:04,
88,Redmi Note 12,RDM-N12 / SPR-IND-ADM-104,Available,,24-07-2025 15:04,
89,Redmi K50i,RDM-K50i / SPR-IND-ADM-105,Available,,25-07-2025 15:04,
90,Infinix GT 10 Pro,INF-GT10P / SPR-IND-ADM-106,Available,,26-07-2025 15:04,
91,Motorola G60,MOTO-G60 / SPR-ALLOC-64,Available,,27-07-2025 15:04,
92,Realme Narzo N55  6/128,RM-NZ-N55 / SPR-ALLOC-22,Available,,28-07-2025 15:04,
93,Vivo T2  6/128,VV-T2 / SPR-IND-PFR-62,Available,,29-07-2025 15:04,
94,Redmi 13C 5G 4/128,RDM-13C / SPR-ALLOC- 86,Available,,30-07-2025 15:04,
95,Realme 8 5G 4/128,RM-8 / SPR-ALLOC- 73,Available,,31-07-2025 15:04,
96,Samsung Galaxy A14 5G 8/128,SAM-A14 / SPR-IND-ADM-107(no number),Available,,01-08-2025 15:04,
97,OPPO A59 4/128,OPPO-A59 / SPR-ALLOC-25(no number),Available,,02-08-2025 15:04,
98,Samsung Galaxy A15 8,Blue Phone with no label ,Available,,03-08-2025 15:04,
99,iPhone SE 128GB  ( 2022 ) ,IPH-SE22-128G / SPR-IND-Dev-30,Available,,04-08-2025 15:04,
100,IPhone 11 128GB,IPH-11-128G / SPR-IND-ADM-4,Available,,05-08-2025 15:04,
101,iPhone 11 Pro 256GB,IPH-11P-256G / SPR-IND-ADM-31,Available,,06-08-2025 15:04,
102,iPhone 12 pro 128GB,IPH-12P-128G / SPR-IND-ADM-36,Available,,07-08-2025 15:04,
103,Samsung FE 21 5G,SAM-FE21 / SPR-IND-ADM-15,Available,,08-08-2025 15:04,
104,Redmi Note 9 4/64,RDM-N9 / SPR-ALLOC- 83,Available,,09-08-2025 15:04,
105,Oppo A17 4/64,OPPO-A17 / SPR-ALLOC- 71 (Label says 74 instead of 71 kindly ignore),Available,,10-08-2025 15:04,
106,Realme 8 5G 4/128,RM-8 / SPR-ALLOC- 73,Available,,11-08-2025 15:04,
107,Redmi Note 8,RDM-N8 / SPR-ALLOC- 103,Available,,12-08-2025 15:04,
108,Samsung M14,SAM-M14 / SPR-ALLOC-23,Available,,13-08-2025 15:04,
109,Pixel 6 ,PXL-6-128G / SPR-IND-ADM-40,Available,,14-08-2025 15:04,
110,Vivo V23 ,VV-23 / SPR-ALLOC- 96,Available,,15-08-2025 15:04,
111,Infinix GT 10 Pro,INF-GT10P / SPR-IND-ADM-106,Available,,16-08-2025 15:04,
112,IQOO Neo7 Pro,IQOO-N7P-128G / SPR-IND-ADM-47,Available,,17-08-2025 15:04,
113,OnePlus 9R,OP-9R / SPR-IND-DEV-10,Available,,18-08-2025 15:04,
114,Vivo T1 44W 4/128,VV-T1 / SPR-ALLOC- 72,Available,,19-08-2025 15:04,
115,Poco X5 Pro,POCO-X5P / SPR-IND-PFR-17,Available,,20-08-2025 15:04,
116,Redmi Note 12,RDM-N12 / SPR-IND-ADM-104,Available,,21-08-2025 15:04,
117,Vivo T2  6/128,VV-T2 / SPR-IND-PFR-62,Available,,22-08-2025 15:04,
118,Redmi Note 11T 6/128,RDM-11T-128G/SPR-IND-DEV-28,Available,,23-08-2025 15:04,
119,Redmi 13C 5G 4/128,RDM-13C / SPR-ALLOC- 86,Available,,24-08-2025 15:04,
120,Samsung Galaxy A14 5G 8/128,SAM-A14 / SPR-IND-ADM-107,Available, ,25-08-2025 15:04,
